date,region_name,region_code,confirmed,dead,icu,hospitalized,recovered,discovered
2020-03-28,France,FRA,37575,2314,4254,17600,6624,NA
2020-03-27,France,FRA,32964,1995,3772,15716,5698,NA
2020-03-26,France,FRA,29155,1696,3363,13892,4948,NA
2020-03-25,France,FRA,25233,1350,2881,11806,3992,NA
2020-03-24,France,FRA,22302,1100,2510,10170,3281,NA
2020-03-23,France,FRA,19856,860,2081,8674,2567,NA
2020-03-22,France,FRA,16689,660,1722,7145,2158,NA
2020-03-21,France,FRA,14459,550,1501,6081,1811,NA
2020-03-20,France,FRA,12612,450,1297,5226,1587,NA
2020-03-19,France,FRA,10995,357,1062,4267,1240,NA
2020-03-18,France,FRA,9134,242,851,3299,908,NA
2020-03-17,France,FRA,7730,175,699,2579,602,NA
2020-03-16,France,FRA,6633,148,NA,NA,NA,NA
2020-03-15,France,FRA,5423,127,NA,400,NA,NA
2020-03-14,France,FRA,4500,91,300,NA,NA,NA
2020-03-13,France,FRA,3661,79,NA,NA,NA,NA
2020-03-12,France,FRA,2876,61,129,NA,NA,NA
2020-03-11,France,FRA,2281,48,105,NA,NA,NA
2020-03-10,France,FRA,1784,33,86,NA,NA,NA
2020-03-09,France,FRA,1412,28,66,NA,NA,NA
2020-03-08,France,FRA,1126,19,NA,NA,NA,NA
2020-03-07,France,FRA,949,14,45,NA,NA,NA
2020-03-06,France,FRA,613,9,39,NA,NA,NA
2020-03-05,France,FRA,423,6,23,NA,NA,NA
2020-03-04,France,FRA,285,4,15,NA,NA,NA
2020-03-03,France,FRA,212,4,NA,NA,12,NA
2020-03-02,France,FRA,184,3,NA,NA,NA,NA
2020-03-01,France,FRA,130,2,9,116,12,NA
2020-02-29,France,FRA,86,2,9,86,12,NA
2020-02-28,France,FRA,48,2,NA,NA,NA,NA
2020-02-27,France,FRA,38,2,2,24,12,NA
2020-02-26,France,FRA,18,2,NA,4,12,NA
2020-02-25,France,FRA,13,1,NA,2,11,NA
2020-02-24,France,FRA,12,1,NA,NA,11,NA
2020-02-23,France,FRA,12,1,NA,1,10,NA
2020-02-21,France,FRA,12,1,NA,1,10,NA
2020-02-20,France,FRA,12,1,NA,11,NA,NA
2020-02-19,France,FRA,12,1,NA,4,7,NA
2020-02-17,France,FRA,12,1,NA,NA,NA,NA
2020-02-15,France,FRA,12,1,NA,7,4,NA
2020-02-13,France,FRA,11,0,1,8,3,NA
2020-02-12,France,FRA,11,0,1,10,2,NA
2020-02-11,France,FRA,11,0,NA,11,NA,NA
2020-02-10,France,FRA,11,0,1,11,0,NA
2020-02-09,France,FRA,11,0,1,11,0,NA
2020-02-08,France,FRA,11,0,1,11,0,NA
2020-02-07,France,FRA,8,0,1,8,0,NA
2020-02-06,France,FRA,6,0,NA,6,NA,NA
2020-02-05,France,FRA,6,0,1,6,0,NA
2020-02-04,France,FRA,6,0,1,6,0,NA
2020-02-03,France,FRA,6,0,1,6,0,NA
2020-02-02,France,FRA,6,0,1,6,0,NA
2020-01-31,France,FRA,6,0,2,6,0,NA
2020-01-30,France,FRA,6,0,2,6,0,NA
2020-01-29,France,FRA,5,0,2,5,0,NA
2020-01-28,France,FRA,4,0,1,4,0,NA
2020-01-27,France,FRA,3,0,0,3,0,NA
2020-01-26,France,FRA,3,NA,NA,NA,NA,NA
2020-01-25,France,FRA,3,0,NA,NA,NA,NA
2020-01-24,France,FRA,3,0,NA,3,NA,NA
